web-scraper-order,web-scraper-start-url,detail_link,detail_link-href,restaurant_name,total_stars,number_of_reviews,cuisine_type,price_class,raw_description,opening_times,address,district,long_lat,all_amenities,lat,long,takes_reservations,delivery,outdoor_seating,good_for_kids,good_for_groups,tv
1705096541-116,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=120,Restaurant Da Capo,https://de.yelp.ch/biz/restaurant-da-capo-z%C3%BCrich?osq=Restaurants,Restaurant Da Capo,3.9,(8 reviews),Schweizer Küche,,,11:00 AM - 11:30 PM,Bahnhofplatz 15 ShopVille 8001 Zürich,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.377485%2C8.540151&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.377485%2C8.540151&signature=NIKUHqrhgjmo1AR__fDtz2eK6JE=,Reservationen möglichKein LieferserviceEdelAlle Alkoholika,47.377485,8.540151,1.0,0.0,,,,
1705096547-117,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=120,Tamarind Hill,https://de.yelp.ch/biz/tamarind-hill-z%C3%BCrich-2?osq=Restaurants,Tamarind Hill,4.3,(10 reviews),Indisch,2.0,,11:00 AM - 11:00 PM,Schaffhauserstrasse 306 8050 Zürich,Kreis 11,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.406793%2C8.548228&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.406793%2C8.548228&signature=lj6iXv9dFKo0qWS11N29sXwI-ik=,"Reservationen möglichBestellung zum AbholenSitzplätze im FreienVertraut, EdelFür Gruppen geeignetFür Kinder geeignetTV",47.406793,8.548228,1.0,,1.0,1.0,1.0,1.0
1705096554-118,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=120,Restaurant Mähnamnan,https://de.yelp.ch/biz/restaurant-m%C3%A4hnamnan-z%C3%BCrich?osq=Restaurants,Restaurant Mähnamnan,5.0,(1 review),Thailändisch,1.0,,,Beckenhofstrasse 70 8006 Zürich,Kreis 6,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.387354%2C8.539885&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.387354%2C8.539885&signature=fJDNx9WU4eB9rgZXM2hGlCYGoyA=,Bestellung zum AbholenKeine ReservierungenKein LieferserviceSitzplätze im FreienLeiseTVNicht für Gruppen geeignetNicht für Kinder geeignetKein Alkohol,47.387354,8.539885,,0.0,1.0,0.0,0.0,1.0
1705096566-120,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=120,Libanon Il Achdar,https://de.yelp.ch/biz/libanon-il-achdar-z%C3%BCrich?osq=Restaurants,Libanon Il Achdar,3.7,(22 reviews),Libanesisch,1.0,,8:00 AM - 9:00 PM,Hafnerstrasse 13 8005 Zürich,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.380823%2C8.534715&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.380823%2C8.534715&signature=_2vYoF38UThi464X2-G3t9FpjjQ=,Bestellung zum AbholenKeine ReservierungenKein LieferserviceSitzplätze im FreienSehr lautFür Gruppen geeignetFür Kinder geeignetEmpfehlenswert für: MittagessenTVKein WLAN,47.380823,8.534715,,0.0,1.0,1.0,1.0,1.0
1705096578-121,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=110,Cheti’s Curry,https://de.yelp.ch/biz/chetis-curry-z%C3%BCrich-2?osq=Restaurants,Cheti's Curry,4.0,(8 reviews),Indisch,2.0,,"11:30 AM - 2:00 PM, 6:00 PM - 9:30 PM",Seefeldstrasse 7 A 8008 Zürich,Kreis 8,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.365036%2C8.548722&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.365036%2C8.548722&signature=61x6NlTw8559R6MWj0CqH8eK8IA=,Reservationen möglichBestellung zum AbholenKein LieferserviceSitzplätze im FreienLeiseFür Gruppen geeignetFür Kinder geeignetBedienungNur Bier & WeinTVKein WLAN,47.365036,8.548722,1.0,0.0,1.0,1.0,1.0,1.0
1705096585-122,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=110,Mythos,https://de.yelp.ch/biz/mythos-z%C3%BCrich-2?osq=Restaurants,Mythos,4.3,(22 reviews),Griechisch,2.0,,11:00 AM - 10:00 PM,Stauffacherstrasse 35 8004 Zürich,Kreis 4,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.373700%2C8.528542&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.373700%2C8.528542&signature=uk_WVmWK1642N04VkE_4HHmgnIg=,Reservationen möglichBestellung zum AbholenKein LieferserviceSitzplätze im FreienModerate LautstärkeFür Gruppen geeignetFür Kinder geeignetNur Bier & WeinTVKein WLAN,47.3737,8.528542,1.0,0.0,1.0,1.0,1.0,1.0
1705096597-124,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=110,Tavernaki Kalymnos,https://de.yelp.ch/biz/tavernaki-kalymnos-z%C3%BCrich-3?osq=Restaurants,Tavernaki Kalymnos,4.0,(21 reviews),Griechisch,3.0,,"11:30 AM - 2:00 PM, 6:00 PM - 12:00 AM (Folgetag)",Motorenstrasse 25 8005 Zürich,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.384357%2C8.528619&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.384357%2C8.528619&signature=VTIl3UqpfcWOoVJh8U0AtO8Ke7c=,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im FreienLegerModerate LautstärkeFür Gruppen geeignetFür Kinder geeignetEmpfehlenswert für: AbendessenAlle AlkoholikaTV,47.384357,8.528619,1.0,0.0,1.0,1.0,1.0,1.0
1705096604-125,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=110,Amboss Rampe,https://de.yelp.ch/biz/amboss-rampe-z%C3%BCrich?osq=Restaurants,Amboss Rampe,4.2,(15 reviews),Bar,2.0,,3:00 PM - 12:00 AM (Folgetag),Zollstrasse 80 8005 Zürich,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.381352%2C8.531487&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.381352%2C8.531487&signature=qr3OzkaqTXxcA6JwVQevGGnc-FY=,Keine ReservierungenKein LieferserviceKeine MitnahmeModerate LautstärkeFür Gruppen geeignetNur Bier & WeinTVNicht für Kinder geeignet,47.381352,8.531487,,0.0,,0.0,1.0,1.0
1705096612-126,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=110,Lily’s,https://de.yelp.ch/biz/lilys-z%C3%BCrich-3?osq=Restaurants,Lily's,3.7,(76 reviews),Asiatisch,2.0,,11:00 AM - 12:00 AM (Folgetag),Langstrasse 197 8005 Zürich,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.382557%2C8.529544&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.382557%2C8.529544&signature=3UWqPT33tP9iqyC99CSaKZxpcfs=,"Lieferung möglichBestellung zum AbholenKeine ReservierungenLeger, Trendy, EdelLautFür Gruppen geeignetEmpfehlenswert für: Mittagessen, AbendessenParkieren an der StrasseAlle AlkoholikaTVKeine Sitzplätze im FreienNicht für Kinder geeignetKein WLAN",47.382557,8.529544,,1.0,1.0,0.0,1.0,1.0
1705096619-127,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=110,les halles - Restaurant,https://de.yelp.ch/biz/les-halles-restaurant-z%C3%BCrich?osq=Restaurants,les halles - Restaurant,4.0,(67 reviews),Mediterran,2.0,"Markthalle: Essen und Einkaufen bis tief in die Nacht. Marktfrische Küche mit Bio-Produkten.
Leaderprodukt ist Moules & Frites. Keine Kreditkarten.",11:00 AM - 2:00 AM (Folgetag),Pfingstweidstrasse 6 8005 Zürich,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.387891%2C8.518641&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.387891%2C8.518641&signature=t8eQLPnrJY1CVnSZ8UMyK3iH3gQ=,Reservationen möglichBestellung zum AbholenKein LieferserviceSitzplätze im FreienLegerLautFür Gruppen geeignetFür Kinder geeignetEmpfehlenswert für: AbendessenParkieren an der StrasseWLAN kostenlosAlle AlkoholikaTVKeine Bedienung,47.387891,8.518641,1.0,0.0,1.0,1.0,1.0,1.0
