web-scraper-order,web-scraper-start-url,detail_link,detail_link-href,restaurant_name,total_stars,number_of_reviews,cuisine_type,price_class,raw_description,opening_times,address,amenities,district,long_lat,lat,long,reservation_status
1704906941-135,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=100,SamSes,https://de.yelp.ch/biz/samses-z%C3%BCrich?osq=Restaurants,SamSes,3.9,(34 reviews),Vegetarisch,$$,,11:00 AM - 11:00 PM,Langstrasse 231 8005 Zürich,Reservationen möglichBestellung zum AbholenKein LieferserviceVegane Angebote,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.383927%2C8.530831&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.383927%2C8.530831&signature=aD3pOOAtK8TaVXyeuMvpIA6tq9c=,47.383927,8.530831,1.0
1704906945-136,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=100,McDonald’s,https://de.yelp.ch/biz/mcdonalds-z%C3%BCrich-5?osq=Restaurants,McDonald's,2.0,(7 reviews),Fast Food,$$,,9:00 AM - 4:00 AM (Folgetag),Langstrasse 201 8005 Zürich,Bestellung zum AbholenKeine ReservierungenKein LieferserviceModerate Lautstärke,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.382881%2C8.529866&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.382881%2C8.529866&signature=8_tyjZl7vsmatYCFmHMEYgH5VA0=,47.382881,8.529866,0.0
1704906949-137,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=100,Wirtschaft Zur Schtund,https://de.yelp.ch/biz/wirtschaft-zur-schtund-z%C3%BCrich?osq=Restaurants,Wirtschaft Zur Schtund,4.2,(5 reviews),Schweizer Küche,$$,"Flambée-Tarts, Fondue",10:30 AM - 9:00 PM,Rennweg 7 8001 Zürich,,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.372513%2C8.539772&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.372513%2C8.539772&signature=yn5ih4tF_YOzac0WqDYpjyPetko=,47.372513,8.539772,
1704906954-138,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=100,Okay Italia,https://de.yelp.ch/biz/okay-italia-z%C3%BCrich?osq=Restaurants,Okay Italia,5.0,(1 review),Italienisch,,"Wir freuen uns sehr, Sie auf der Webseite des Restaurants OKAY ITALIA begrüssen zu dürfen.
Lassen Sie sich von unserem italienischen Charme, Produkten aus der Region und unserer
Gastfreundschaft verführen. Manchmal kann es zu Wartezeiten kommen - wir bitten um Ihr Verstä…","8:00 AM - 2:30 PM, 5:30 PM - 10:30 PM",Gladbachstrasse 94 8044 Zürich,,Kreis 7,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.379190%2C8.555560&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.379190%2C8.555560&signature=fbtoGYpCWapC5jLlP1t7eWtK60k=,47.37919,8.55556,
1704906958-139,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=100,Amadeus,https://de.yelp.ch/biz/amadeus-schlieren?osq=Restaurants,Amadeus,4.8,(5 reviews),Österreichisch,$$,,11:00 AM - 11:00 PM,Bahnhofstrasse 8 8952 Schlieren,Reservationen möglichKein LieferserviceKeine MitnahmeModerate Lautstärke,,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.398860%2C8.448439&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.398860%2C8.448439&signature=_z7ThimTK7KSeu8UJq4daH9z4AE=,47.39886,8.448439,1.0
1704906967-140,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=90,SPITZ,https://de.yelp.ch/biz/spitz-z%C3%BCrich-3?osq=Restaurants,SPITZ,4.0,(1 review),Schweizer Küche,,"Unsere Küche im Spitz ist sehr spiel- und experimentierfreudig, modern und doch
traditions-bewusst. Neben aufwändigen Kreationen bieten wir auch einfache, preiswerte Speisen
an.  Ein guter Wein muss für uns Persönlichkeit haben, drängt sich nicht auf und ist ein guter Begl…",10:00 AM - 12:00 AM (Folgetag),Museumstrasse 2 8001 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.379037%2C8.541000&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.379037%2C8.541000&signature=ShCqfPvjq6QyP1tBCNm-1YcLFic=,47.379037,8.541,1.0
1704906971-141,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=90,Le Maquis,https://de.yelp.ch/biz/le-maquis-z%C3%BCrich-2?osq=Restaurants,Le Maquis,5.0,(1 review),Französisch,,,5:00 PM - 11:00 PM,Limmatstrasse 189 8005 Zürich,Für Gruppen geeignetFür Kinder geeignet,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.386315%2C8.529050&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.386315%2C8.529050&signature=ilrt1JfQeJ5rR8HxGYtnODxwNII=,47.386315,8.52905,
1704906976-142,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=90,Tre Fratelli,https://de.yelp.ch/biz/tre-fratelli-z%C3%BCrich?osq=Restaurants,Tre Fratelli,4.3,(16 reviews),Schweizer Küche,$$$,,"11:30 AM - 2:30 PM, 5:30 PM - 12:00 AM (Folgetag)",Nordstrasse 182 8037 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 10,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.392430%2C8.531471&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.392430%2C8.531471&signature=fBSkCzIdIkwAR4ANavwdiZGcz0I=,47.39243,8.531471,1.0
1704906980-143,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=90,Libanon Il Achdar,https://de.yelp.ch/biz/libanon-il-achdar-z%C3%BCrich?osq=Restaurants,Libanon Il Achdar,3.7,(22 reviews),Libanesisch,$,,8:00 AM - 9:00 PM,Hafnerstrasse 13 8005 Zürich,Bestellung zum AbholenKeine ReservierungenKein LieferserviceSitzplätze im Freien,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.380823%2C8.534715&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.380823%2C8.534715&signature=_2vYoF38UThi464X2-G3t9FpjjQ=,47.380823,8.534715,0.0
1704906985-144,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=90,Simon’s Steakhouse,https://de.yelp.ch/biz/simons-steakhouse-z%C3%BCrich?osq=Restaurants,Simon's Steakhouse,3.9,(14 reviews),Steakhouse,,,11:00 AM - 12:00 AM (Folgetag),Niederdorfstrasse 13 8001 Zürich,,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.373387%2C8.543582&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.373387%2C8.543582&signature=gRd9WUX4-YMftDTCjU3pawGqihc=,47.373387,8.543582,
