web-scraper-order,web-scraper-start-url,detail_link,detail_link-href,restaurant_name,total_stars,number_of_reviews,cuisine_type,price_class,raw_description,opening_times,address,amenities,district,long_lat,lat,long,reservation_status
1704906267-1,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Restaurant Pflug,https://de.yelp.ch/biz/restaurant-pflug-z%C3%BCrich?osq=Restaurants,Restaurant Pflug,4.0,(9 reviews),Schweizer Küche,$$$,,"12:00 PM - 2:00 PM, 6:30 PM - 12:00 AM (Folgetag)",Brauerstrasse 74 8004 Zürich,Reservationen möglichKeine MitnahmeModerate LautstärkeKeine Sitzplätze im Freien,Kreis 4,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.379016%2C8.524960&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.379016%2C8.524960&signature=da2Y4DTJUNLPn1dPEgzZAp6Nn_8=,47.379016,8.52496,1.0
1704906272-2,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Ototo,https://de.yelp.ch/biz/ototo-z%C3%BCrich?osq=Restaurants,Ototo,4.3,(7 reviews),Sushi,$$$,,5:30 PM - 11:00 PM,Nordstrasse 199 8037 Zürich,Reservationen möglichLieferung möglichBestellung zum AbholenSitzplätze im Freien,Kreis 10,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.392527%2C8.530738&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.392527%2C8.530738&signature=RrUYAJZtb8Y6MJdnhZsL2QqD77w=,47.392527,8.530738,1.0
1704906276-3,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Tschingg,https://de.yelp.ch/biz/tschingg-z%C3%BCrich-2?osq=Restaurants,Tschingg,3.8,(6 reviews),Italienisch,$$,,9:00 AM - 8:00 PM,Schaffhauserstrasse 353 8050 Zürich,Keine ReservierungenFür Gruppen geeignetFür Kinder geeignet,Kreis 11,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.409786%2C8.546027&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.409786%2C8.546027&signature=He9JpBA14wVqH5DoQgUlkQFleO8=,47.409786,8.546027,0.0
1704906281-4,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Karl der Grosse,https://de.yelp.ch/biz/karl-der-grosse-z%C3%BCrich?osq=Restaurants,Karl der Grosse,4.0,(4 reviews),Schweizer Küche,$$,,8:00 AM - 11:00 PM,Kirchgasse 14 8001 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.369761%2C8.544650&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.369761%2C8.544650&signature=JxM8CZYZcqkzK0dnEafenZd5SMI=,47.369761,8.54465,1.0
1704906286-5,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,L’Altro,https://de.yelp.ch/biz/l-altro-z%C3%BCrich?osq=Restaurants,L'Altro,5.0,(7 reviews),Italienisch,$$$,,"11:30 AM - 2:30 PM, 5:30 PM - 12:00 AM (Folgetag)",Sternenstrasse 11 8002 Zürich,Reservationen möglichKeine MitnahmeSitzplätze im FreienModerate Lautstärke,Kreis 2,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.360064%2C8.534062&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.360064%2C8.534062&signature=sqS4MMYnYBHrrg2OYyL1pXUUP90=,47.360064,8.534062,1.0
1704906290-6,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Bimi,https://de.yelp.ch/biz/bimi-z%C3%BCrich?osq=Restaurants,Bimi,4.2,(29 reviews),Japanisch,$$$,,"11:30 AM - 2:30 PM, 6:00 PM - 11:00 PM",Seefeldstrasse 25 8008 Zürich,Reservationen möglichBestellung zum AbholenKein LieferserviceSitzplätze im Freien,Kreis 8,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.363713%2C8.549531&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.363713%2C8.549531&signature=gFiG_HbuIb3NU_4nHZuDLTw-s_w=,47.363713,8.549531,1.0
1704906295-7,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,eCHo,https://de.yelp.ch/biz/echo-z%C3%BCrich-3?osq=Restaurants,eCHo,3.8,(31 reviews),Schweizer Küche,$$$$,"The taste of Switzerland! The eCHo restaurant fully commits to the tradition of Swiss cuisine.
Everything is prepared according to original recipes and the dishes are presented with flair and
creativity. All our products are fresh and originate from the region. Enjoy the atmosphere combini…",6:00 PM - 10:30 PM,Neumühlequai 42 8006 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeLeise,Kreis 6,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.382486%2C8.540407&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.382486%2C8.540407&signature=tDy2pV4ZatMfzWVxJ6TcEA4XqxA=,47.382486,8.540407,1.0
1704906299-8,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Le Cèdre Maurice,https://de.yelp.ch/biz/le-c%C3%A8dre-maurice-z%C3%BCrich?osq=Restaurants,Le Cèdre Maurice,4.7,(3 reviews),Libanesisch,,"Libanesische Gerichte - Orient in Zürich!  An der Nüschelerstrasse bieten wir zusätzlich zu unserer
Spezialitätenkarte mit Mezzeh, Grilladen und mehr eine grosse Variation an frisch zubereiteten
Sandwiches zum Mitnehmen an.                       Unsere beiden Klassiker sind die von Kennern übera…","11:30 AM - 3:00 PM, 5:00 PM - 10:00 PM",Nüschelerstrasse 31 8001 Zürich,,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.372264%2C8.535761&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.372264%2C8.535761&signature=uE10GV3yo8fg6vkH57fY0L8mO04=,47.372264,8.535761,
1704906303-9,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Enzian,https://de.yelp.ch/biz/enzian-z%C3%BCrich-3?osq=Restaurants,Enzian,4.6,(5 reviews),Schweizer Küche,,,9:00 AM - 11:00 PM,Nirderdorfstrasse 30 8001 Zürich,Sitzplätze im Freien,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.374175%2C8.543623&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.374175%2C8.543623&signature=9GfsmLQNaQHuU00wsco-qt7d4-4=,47.374175,8.543623,
1704906308-10,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=230,Restaurant New Bombay,https://de.yelp.ch/biz/restaurant-new-bombay-z%C3%BCrich?osq=Restaurants,Restaurant New Bombay,4.1,(13 reviews),Indisch,,,11:00 AM - 11:00 PM,Predigerplatz 34 8001 Zürich,,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.373596%2C8.545746&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.373596%2C8.545746&signature=rQgGcaNPjbk4PXikil_l8ZS1URU=,47.373596,8.545746,
1704906316-11,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,AYVERDI’S,https://de.yelp.ch/biz/ayverdis-z%C3%BCrich-4?osq=Restaurants,AYVERDI'S,3.8,(9 reviews),Döner & Kebab,$$$,"Hat 2002 eröffnet. Die sechsköpfige Familie Ayverdi kam 1989 in die Schweiz. Fuss fassen konnte die
kurdisch-stämmige Familie im Entlebuch. 2002 kam der Wunsch und schliesslich Entschluss, ein
Restaurant zu eröffnen. Einige Lokalitäten standen zur Auswahl, worauf sich die Familie für das Lo…",10:00 AM - 11:00 PM,Genossenschaftsstrasse 18 8050 Zürich,Bestellung zum AbholenKeine ReservierungenKein LieferserviceSitzplätze im Freien,Kreis 12,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.414668%2C8.561253&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.414668%2C8.561253&signature=HX6Jy4DLzwmU_Lfw5lhTvb68gQc=,47.414668,8.561253,0.0
1704906321-12,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,Heinrich 109,https://de.yelp.ch/biz/heinrich-109-z%C3%BCrich-2?osq=Restaurants,Heinrich 109,4.0,(2 reviews),"Wein, Bier & Spirituosen",$$,"Ausgesuchte Weine und Spezialitäten aus der Schweiz, Frankreich, Italien, Marokko und Tunesien.
Cremant d'Alsace, Bordeaux, Barolo. Guerouane. Absinthe, Armagnac, Damassine.. Chocolat
Absinthe, Alp Raclette und Fondue Terrines et Saucissons...",12:00 PM - 7:00 PM,Heinrichstrasse 109 8005 Zürich,Lieferung möglichAlle Alkoholika,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.385546%2C8.528639&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.385546%2C8.528639&signature=70T-wfv-_Elli6Qk_6-7FHUbtGY=,47.385546,8.528639,
1704906326-13,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,Blockhus,https://de.yelp.ch/biz/blockhus-z%C3%BCrich?osq=Restaurants,Blockhus,4.1,(17 reviews),Schweizer Küche,$$,,11:30 AM - 11:00 PM,Schifflände 4 8001 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeFür Kinder geeignet,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.368100%2C8.545230&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.368100%2C8.545230&signature=bC2N7v8oIzRcDraFT4ncDLFzbKU=,47.3681,8.54523,1.0
1704906330-14,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,Giesserei Oerlikon,https://de.yelp.ch/biz/giesserei-oerlikon-z%C3%BCrich?osq=Restaurants,Giesserei Oerlikon,4.3,(32 reviews),Frühstück & Brunch,$$$,"Giesserei Oerlikon- Eine alte Fabrik, welche sanft renoviert wurde, um das postindustrielle Ambiente
zu erhalten. Kein alltäglicher Ort und doch findet darin der Alltag statt.","11:30 AM - 2:00 PM, 5:30 PM - 12:00 AM (Folgetag)",Birchstrasse 108 8050 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 11,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.408598%2C8.537387&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.408598%2C8.537387&signature=jcM5PbKlXbcBB3fKTY8VWTz-ki4=,47.408598,8.537387,1.0
1704906335-15,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,White Elephant,https://de.yelp.ch/biz/white-elephant-z%C3%BCrich?osq=Restaurants,White Elephant,4.3,(30 reviews),Thailändisch,$$$,"The White Elephant restaurant has the reputation to be one of the city's best Thai restaurants. Since
1991 it offers an authentic cuisine with the full scope of original spices. The entire team originates
from Thailand and greets you with open hearts and welcoming smiles. Indulge in this distinctive T…","12:00 PM - 2:00 PM, 6:00 PM - 10:00 PM",Neumühlequai 42 8006 Zürich,"Reservationen möglichBestellung zum AbholenKein LieferserviceLeger, Romantisch, Gehoben",Kreis 6,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.382439%2C8.540643&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.382439%2C8.540643&signature=wglBKqrHSk175AjWf177m4gWQnw=,47.382439,8.540643,1.0
1704906340-16,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,Oase Gloria,https://de.yelp.ch/biz/oase-gloria-z%C3%BCrich?osq=Restaurants,Oase Gloria,4.3,(3 reviews),Döner & Kebab,$,,,Gloriastrasse 19 8006 Zürich,Bestellung zum AbholenKeine ReservierungenKein LieferserviceFür Gruppen geeignet,Kreis 7,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.374920%2C8.552461&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.374920%2C8.552461&signature=DSqjA4F8VnenU0mncs03kMdlHvM=,47.37492,8.552461,0.0
1704906344-17,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,Restaurant Valentins,https://de.yelp.ch/biz/restaurant-valentins-z%C3%BCrich?osq=Restaurants,Restaurant Valentins,4.5,(4 reviews),Türkisch,$$,,,Gasometerstrasse 36 Gasometerstrasse 36 8005 Zürich,Reservationen möglichSitzplätze im FreienLeiseFür Gruppen geeignet,Kreis 5,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.384653%2C8.529803&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.384653%2C8.529803&signature=d1MoRBEVyVq7EA0Y966-Lz-QS_Q=,47.384653,8.529803,1.0
1704906348-18,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,Pizza Nation,https://de.yelp.ch/biz/pizza-nation-z%C3%BCrich?osq=Restaurants,Pizza Nation,5.0,(5 reviews),Pizza,,Verschiedene Arten von Pizzas,,Rosengasse 3 8001 Zürich,Bestellung zum AbholenKeine ReservierungenKein LieferserviceWLAN kostenlos,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.373121%2C8.543431&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.373121%2C8.543431&signature=FZe-NCxiRR0eKeXjEeEfdzUBL0I=,47.373121,8.543431,0.0
1704906352-19,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,George Bar & Grill,https://de.yelp.ch/biz/george-bar-und-grill-z%C3%BCrich?osq=Restaurants,George Bar & Grill,3.9,(16 reviews),Cocktailbar,$$$,"GEORGE - so heisst das neue Restaurant über den Dächern von Zürich im Haus Ober, das dank
eines einzigartigen Design Konzepts den Charakter seines namengebenden Gastgebers verströmt. 
Dem Genuss und der Gemütlichkeit verpflichtet, richtet sich das neue Gastronomie-Konzept von G…",11:30 AM - 11:30 PM,Sihlstrasse 50 8001 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.373312%2C8.532619&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.373312%2C8.532619&signature=qv9vy-Pl8xcAOAZilllyDOcXHd0=,47.373312,8.532619,1.0
1704906357-20,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=220,Nikos - Griechische Taverne,https://de.yelp.ch/biz/nikos-griechische-taverne-z%C3%BCrich?osq=Restaurants,Nikos - Griechische Taverne,3.9,(7 reviews),Griechisch,$$,,"11:00 AM - 2:00 PM, 5:00 PM - 12:00 AM (Folgetag)",Albisriederstrasse 181 8047 Zürich,Reservationen möglichBestellung zum AbholenSitzplätze im FreienFür Gruppen geeignet,Kreis 9,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.377540%2C8.498310&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.377540%2C8.498310&signature=juj2Gn9vo9Y2HxyAy09cRB0_rYI=,47.37754,8.49831,1.0
1704906367-21,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=210,Hiltl,https://de.yelp.ch/biz/hiltl-z%C3%BCrich?osq=Restaurants,Hiltl,4.3,(329 reviews),Vegetarisch,$$,"Das Haus Hiltl ist ein Gasthaus im wahrsten Sinne, weil wir jeden Gast mit seinen wechselnden
Bedürfnissen ernst nehmen, durch ein Team, das etwas von Gastgewerbe versteht. Seit mehr als
hundert Jahren vermitteln wir gesunden Genuss und Lebensfreude und wir stellen den Menschen…",7:00 AM - 10:00 PM,Sihlstrasse 28 8001 Zürich,Reservationen möglichBestellung zum AbholenKein LieferserviceVegane Angebote,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.373204%2C8.536611&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.373204%2C8.536611&signature=Tt0xNejbrcIU-Y0TVwS9ggV3tpg=,47.373204,8.536611,1.0
1704906371-22,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=210,Rolli’s Steakhouse,https://de.yelp.ch/biz/rollis-steakhouse-z%C3%BCrich?osq=Restaurants,Rolli's Steakhouse,4.2,(50 reviews),Steakhouse,$$$,,10:00 AM - 11:30 PM,Schaffhauserstrasse 352 8050 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 11,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.409780%2C8.546476&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.409780%2C8.546476&signature=FHpq3vI2VDagqdXrTeOFO8NJUTo=,47.40978,8.546476,1.0
1704906376-23,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=210,James Joyce,https://de.yelp.ch/biz/james-joyce-z%C3%BCrich?osq=Restaurants,James Joyce,4.0,(36 reviews),Irish Pub,$$,,11:00 AM - 12:00 AM (Folgetag),Pelikanstrasse 8 8001 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.372216%2C8.537036&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.372216%2C8.537036&signature=_gm_bMVaaRhq7khZUQHuu9jtEsA=,47.372216,8.537036,1.0
1704906380-24,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=210,Cartel,https://de.yelp.ch/biz/cartel-z%C3%BCrich-2?osq=Restaurants,Cartel,3.8,(6 reviews),Mexikanisch,,"Fertig Provisorium - das Cartel ist gekommen, um zu bleiben. Trotz Facelift gehört unser Herz
natürlich immer noch den Burritos, die neu auch in der Carnitas-Variante mit Pork daherkommen.
Alternativ servieren wir zudem leckere Tacos, schmackhafte Tortas (sozusagen mexikanische Burg…","11:30 AM - 1:30 PM, 6:00 PM - 9:00 PM",Militärstrasse 14 8004 Zürich,Bestellung zum AbholenKeine ReservierungenKein LieferserviceSitzplätze im Freien,Kreis 4,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.376449%2C8.533244&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.376449%2C8.533244&signature=Jtphvi-Smsh81uyvZebUqtHY01E=,47.376449,8.533244,0.0
1704906385-25,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=210,Kleine Freiheit,https://de.yelp.ch/biz/kleine-freiheit-z%C3%BCrich?osq=Restaurants,Kleine Freiheit,4.1,(8 reviews),Café,$,,8:00 AM - 11:00 PM,Weinbergstrasse 30 8006 Zürich,Bestellung zum AbholenKeine ReservierungenKein LieferserviceSitzplätze im Freien,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.378903%2C8.544701&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.378903%2C8.544701&signature=HQBEI7tfG35Nx05e79UeY8v8fB4=,47.378903,8.544701,0.0
1704906389-26,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=210,roots,https://de.yelp.ch/biz/roots-z%C3%BCrich?osq=Restaurants,roots,4.2,(28 reviews),Vegan,$$,,7:00 AM - 8:00 PM,Lintheschergasse 15 8001 Zürich,Bestellung zum AbholenKeine ReservierungenKein LieferserviceVegane Angebote,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.376295%2C8.538590&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.376295%2C8.538590&signature=1fu7c8U0dmP0GUAWCqbYJb3Vr-M=,47.376295,8.53859,0.0
1704906394-27,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=210,Restaurant zum Grünen Glas,https://de.yelp.ch/biz/restaurant-zum-gr%C3%BCnen-glas-z%C3%BCrich-2?osq=Restaurants,Restaurant zum Grünen Glas,4.5,(11 reviews),Schweizer Küche,$$,Alpin - Mediterrane Küche wenn möglich mit Produkten aus der Region,"11:30 AM - 2:00 PM, 5:30 PM - 11:00 PM",Untere Zäune 15 8001 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.371772%2C8.545802&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.371772%2C8.545802&signature=LGWf1jUNIQxpA8CKSc3-pCxkABc=,47.371772,8.545802,1.0
1704906399-28,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=210,Restaurant Au Gratin,https://de.yelp.ch/biz/restaurant-au-gratin-z%C3%BCrich?osq=Restaurants,Restaurant Au Gratin,4.1,(16 reviews),Spezialitäten,$$,,"11:00 AM - 2:30 PM, 5:00 PM - 11:00 PM",Bahnhofplatz 2 8001 Zürich,Reservationen möglichKein LieferserviceSitzplätze im FreienEdel,Kreis 1,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.376724%2C8.540754&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.376724%2C8.540754&signature=rH8Ykh4NQ4wvpFNiKZ3KCW0f8Kw=,47.376724,8.540754,1.0
1704906403-29,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=210,Café Des Amis,https://de.yelp.ch/biz/caf%C3%A9-des-amis-z%C3%BCrich?osq=Restaurants,Café Des Amis,4.2,(39 reviews),Bar,$$,,8:00 AM - 12:00 AM (Folgetag),Nordstrasse 88 8037 Zürich,Reservationen möglichKein LieferserviceKeine MitnahmeSitzplätze im Freien,Kreis 10,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.388650%2C8.536145&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.388650%2C8.536145&signature=P-UN81uc-GDh-Kluhy5SF3_dGqk=,47.38865,8.536145,1.0
1704906408-30,https://de.yelp.ch/search?find_desc=Restaurants&find_loc=Z%C3%BCrich&start=210,ROSI,https://de.yelp.ch/biz/rosi-z%C3%BCrich?osq=Restaurants,ROSI,4.0,(2 reviews),Bayerische Küche,,,6:00 PM - 12:00 AM (Folgetag),Sihlfeldstrasse 89 8004 Zürich,,Kreis 4,https://maps.googleapis.com/maps/api/staticmap?size=315x150&sensor=false&client=gme-yelp&language=en&scale=1&zoom=15&center=47.376481%2C8.516238&markers=scale%3A1%7Cicon%3Ahttps%3A%2F%2Fyelp-images.s3.amazonaws.com%2Fassets%2Fmap-markers%2Fannotation_32x43.png%7C47.376481%2C8.516238&signature=kPgrOBcrqB6EnOzVPG0C0XkYIG8=,47.376481,8.516238,
